Monument,County,SMR_Number,X,Y
Antrim Round Tower,Antrim,ANT 050:009,315447,387687
Armoy Round Tower,Antrim,ANT 013:010,307786,433251
Ballylumford Dolmen,Antrim,ANT 041:007,343053,401605
Ballywee Early Christian Settlement,Antrim,ANT 050:036,321827,389861
Bonamargy Friary,Antrim,ANT 009:003,312685,440869
Carrickfergus Castle,Antrim,ANT 052:059,341411,387282
Carrickfergus Gasworks,Antrim,ANT 052:500,341071,387315
Carrickfergus Town Walls,Antrim,ANT 052:061,341193,387342
Castle Lug,Antrim,ANT 052:049,337413,384381
Coshkib Rath Pair: The Twin Towers,Antrim,"ANT 015:002,3",323440,429260
Craigs Dolmen,Antrim,ANT 022:024,297395,417280
"Craigs, The Broad Stone",Antrim,ANT 022:023,297927,417550
Dalway's Bawn,Antrim,ANT 047:015,344281,391432
Dooey's Cairn,Antrim,ANT 022:012,302149,418294
Duncarbit Standing Stones,Antrim,ANT 014:004,314725,434817
Dunluce Castle,Antrim,ANT 002:003,290504,441292
Harryville Motte and Bailey,Antrim,ANT 037:022,311228,402592
Layd Church,Antrim,ANT 015:001,324543,428932
Lissanduff Earthworks,Antrim,"ANT 003:001,2",293039,442259
Lissue Rath,Antrim,ANT 067:013,322769,363248
Olderfleet Castle,Antrim,ANT 040:040,341332,401659
Ossian's Grave,Antrim,ANT 019:006,321283,428467
Spring Farm Rath,Antrim,ANT 050:006,314876,388222
Annaghmare Cairn,Armagh,ARM 027:007,290515,317818
Armagh Friary,Armagh,ARM 012:016,287638,344776
Ballykeel Dolmen and Cairn,Armagh,ARM 028:020,299522,321341
Ballymacdermot Cairn,Armagh,ARM 026:015,306563,324022
Clontygora Cairn,Armagh,ARM 029:011,309866,319424
Eglish Crosses,Armagh,ARM 007:001,280608,350185
Haughey's Fort,Armagh,ARM 012:013,283526,345296
Killevy Churches,Armagh,ARM 029:002,304017,322064
Kilnasaggart Pillar Stone,Armagh,ARM 032:006,306176,314889
Lisnamintry Rath,Armagh,ARM 010:003,304634,354487
Moyry Castle,Armagh,ARM 032:005,305759,314654
Navan Fort,Armagh,ARM 012:015,284769,345130
Slieve Gullion North Cairn,Armagh,ARM 028:006,302124,321129
Slieve Gullion South Cairn,Armagh,ARM 028:007,302472,320319
The King's Stables,Armagh,ARM 012:014,283881,345472
Tynan Village Cross,Armagh,ARM 011:014,276604,342996
Annadorn Dolmen,Down,DOW 030:007,342892,345921
Ardtole Church,Down,DOW 045:007,356436,338201
Ballynoe 'Stone Circle',Down,DOW 037:035,348125,340378
Clough Castle,Down,DOW 037:060,340894,340294
Derry Churches,Down,DOW 032:005,361215,352361
Dromore Motte,Down,DOW 021:048,320601,353172
Drumena Cashel and Souterrain,Down,DOW 043:063,331113,334032
Dundrum Castle,Down,DOW 044:006,340448,336979
Duneight Motte and Bailey,Down,DOW 014:028,327776,360797
Dunnaman Court Tomb,Down,DOW 055:030,328849,315047
Giant's Ring,Down,DOW 009:036,332717,367700
Goward Dolmen,Down,DOW 048:011,324369,331034
Grey Abbey,Down,DOW 011:010,358292,368126
Holywood Motte,Down,DOW 001:001,340094,379198
Inch Abbey,Down,DOW 037:005,347684,345449
Jordan's Castle,Down,DOW 045:020,356012,337131
Kilclief Castle,Down,DOW 039:002,359722,345753
Legananny Dolmen,Down,DOW 035:037,328867,343396
Loughlinisland Churches,Down,DOW 037:004,342342,345378
Maghera Church and Round Tower,Down,DOW 043:085,337205,334139
Mahee Castle,Down,DOW 017:004,352390,363947
Millin Bay Cairn,Down,DOW 032:015,362885,349505
Movilla Abbey,Down,DOW 006:013,350351,374449
Nendrum Ecclesiastical Site,Down,DOW 017:005,352442,363634
Raholp Church,Down,DOW 031:003,354080,347878
Rough Fort,Down,DOW 013:014,314238,360478
Scrabo Hillfort,Down,DOW 005:023,347757,372629
Shandon Park Mound,Down,DOW 004:001,338459,372767
Shaw's Bridge,Down,NONE,332496,369028
